id,member_id,date,activity,status,remark
121,124,2025-12-03,กิจกรรมแถว,present,
122,125,2025-12-03,กิจกรรมแถว,present,
123,2,2025-12-21,กิจกรรมแถว,present,
124,3,2025-12-21,กิจกรรมแถว,present,
125,4,2025-12-21,กิจกรรมแถว,present,
126,5,2025-12-21,กิจกรรมแถว,present,
127,6,2025-12-21,กิจกรรมแถว,present,
128,8,2025-12-21,กิจกรรมแถว,present,
129,9,2025-12-21,กิจกรรมแถว,present,
130,10,2025-12-21,กิจกรรมแถว,present,
131,11,2025-12-21,กิจกรรมแถว,present,
132,12,2025-12-21,กิจกรรมแถว,present,
133,13,2025-12-21,กิจกรรมแถว,present,
134,14,2025-12-21,กิจกรรมแถว,present,
135,15,2025-12-21,กิจกรรมแถว,present,
136,16,2025-12-21,กิจกรรมแถว,present,
137,17,2025-12-21,กิจกรรมแถว,present,
138,18,2025-12-21,กิจกรรมแถว,present,
139,19,2025-12-21,กิจกรรมแถว,present,
140,21,2025-12-21,กิจกรรมแถว,present,
141,22,2025-12-21,กิจกรรมแถว,absent,
142,25,2025-12-21,กิจกรรมแถว,present,
143,26,2025-12-21,กิจกรรมแถว,absent,
144,27,2025-12-21,กิจกรรมแถว,present,
145,28,2025-12-21,กิจกรรมแถว,present,
146,30,2025-12-21,กิจกรรมแถว,present,
147,31,2025-12-21,กิจกรรมแถว,present,
148,33,2025-12-21,กิจกรรมแถว,present,
149,34,2025-12-21,กิจกรรมแถว,present,
150,35,2025-12-21,กิจกรรมแถว,present,
151,36,2025-12-21,กิจกรรมแถว,present,
152,37,2025-12-21,กิจกรรมแถว,present,
153,38,2025-12-21,กิจกรรมแถว,present,
154,39,2025-12-21,กิจกรรมแถว,present,
155,43,2025-12-21,กิจกรรมแถว,present,
156,44,2025-12-21,กิจกรรมแถว,present,
157,46,2025-12-21,กิจกรรมแถว,present,
158,47,2025-12-21,กิจกรรมแถว,present,
159,48,2025-12-21,กิจกรรมแถว,present,
160,49,2025-12-21,กิจกรรมแถว,present,
161,51,2025-12-21,กิจกรรมแถว,absent,
162,54,2025-12-21,กิจกรรมแถว,absent,
163,55,2025-12-21,กิจกรรมแถว,absent,
164,56,2025-12-21,กิจกรรมแถว,absent,
165,57,2025-12-21,กิจกรรมแถว,absent,
166,58,2025-12-21,กิจกรรมแถว,present,
167,59,2025-12-21,กิจกรรมแถว,present,
168,61,2025-12-21,กิจกรรมแถว,present,
169,63,2025-12-21,กิจกรรมแถว,present,
170,65,2025-12-21,กิจกรรมแถว,present,
171,86,2025-12-21,กิจกรรมแถว,present,
172,110,2025-12-21,กิจกรรมแถว,present,
173,111,2025-12-21,กิจกรรมแถว,present,
174,112,2025-12-21,กิจกรรมแถว,present,
175,113,2025-12-21,กิจกรรมแถว,absent,
176,114,2025-12-21,กิจกรรมแถว,present,
177,115,2025-12-21,กิจกรรมแถว,absent,
178,116,2025-12-21,กิจกรรมแถว,present,
179,117,2025-12-21,กิจกรรมแถว,absent,
180,118,2025-12-21,กิจกรรมแถว,present,
181,119,2025-12-21,กิจกรรมแถว,present,
182,124,2025-12-21,กิจกรรมแถว,present,
183,125,2025-12-21,กิจกรรมแถว,absent,
184,2,2025-12-22,กิจกรรมแถว,present,
185,3,2025-12-22,กิจกรรมแถว,present,
186,4,2025-12-22,กิจกรรมแถว,present,
187,5,2025-12-22,กิจกรรมแถว,present,
188,6,2025-12-22,กิจกรรมแถว,present,
189,8,2025-12-22,กิจกรรมแถว,present,
190,9,2025-12-22,กิจกรรมแถว,present,
191,10,2025-12-22,กิจกรรมแถว,present,
192,11,2025-12-22,กิจกรรมแถว,present,
193,12,2025-12-22,กิจกรรมแถว,present,
194,13,2025-12-22,กิจกรรมแถว,present,
195,14,2025-12-22,กิจกรรมแถว,present,
196,15,2025-12-22,กิจกรรมแถว,present,
197,16,2025-12-22,กิจกรรมแถว,present,
198,17,2025-12-22,กิจกรรมแถว,present,
199,18,2025-12-22,กิจกรรมแถว,present,
200,19,2025-12-22,กิจกรรมแถว,present,
201,21,2025-12-22,กิจกรรมแถว,present,
202,22,2025-12-22,กิจกรรมแถว,present,
203,25,2025-12-22,กิจกรรมแถว,present,
204,26,2025-12-22,กิจกรรมแถว,present,
205,27,2025-12-22,กิจกรรมแถว,present,
206,28,2025-12-22,กิจกรรมแถว,present,
207,30,2025-12-22,กิจกรรมแถว,present,
208,31,2025-12-22,กิจกรรมแถว,present,
209,33,2025-12-22,กิจกรรมแถว,present,
210,34,2025-12-22,กิจกรรมแถว,present,
211,35,2025-12-22,กิจกรรมแถว,present,
212,36,2025-12-22,กิจกรรมแถว,present,
213,37,2025-12-22,กิจกรรมแถว,present,
214,38,2025-12-22,กิจกรรมแถว,present,
215,39,2025-12-22,กิจกรรมแถว,present,
216,43,2025-12-22,กิจกรรมแถว,present,
217,44,2025-12-22,กิจกรรมแถว,present,
218,46,2025-12-22,กิจกรรมแถว,present,
219,47,2025-12-22,กิจกรรมแถว,present,
220,48,2025-12-22,กิจกรรมแถว,present,
221,49,2025-12-22,กิจกรรมแถว,present,
222,51,2025-12-22,กิจกรรมแถว,present,
223,54,2025-12-22,กิจกรรมแถว,present,
224,55,2025-12-22,กิจกรรมแถว,present,
225,56,2025-12-22,กิจกรรมแถว,present,
226,57,2025-12-22,กิจกรรมแถว,absent,
227,58,2025-12-22,กิจกรรมแถว,present,
228,59,2025-12-22,กิจกรรมแถว,present,
229,61,2025-12-22,กิจกรรมแถว,present,
230,63,2025-12-22,กิจกรรมแถว,present,
231,65,2025-12-22,กิจกรรมแถว,present,
232,86,2025-12-22,กิจกรรมแถว,absent,
233,110,2025-12-22,กิจกรรมแถว,present,
234,111,2025-12-22,กิจกรรมแถว,present,
235,112,2025-12-22,กิจกรรมแถว,present,
236,113,2025-12-22,กิจกรรมแถว,present,
237,114,2025-12-22,กิจกรรมแถว,present,
238,115,2025-12-22,กิจกรรมแถว,absent,
239,116,2025-12-22,กิจกรรมแถว,present,
240,117,2025-12-22,กิจกรรมแถว,absent,
241,118,2025-12-22,กิจกรรมแถว,present,
242,119,2025-12-22,กิจกรรมแถว,present,
243,124,2025-12-22,กิจกรรมแถว,present,
244,125,2025-12-22,กิจกรรมแถว,absent,
245,44,2025-12-22,ประชุมสภานักเรียน,present,
246,57,2025-12-22,ประชุมสภานักเรียน,present,
247,59,2025-12-22,ประชุมสภานักเรียน,present,
248,63,2025-12-22,ประชุมสภานักเรียน,present,
249,120,2025-12-22,ประชุมสภานักเรียน,present,
250,121,2025-12-22,ประชุมสภานักเรียน,present,
251,123,2025-12-22,ประชุมสภานักเรียน,present,
252,124,2025-12-22,ประชุมสภานักเรียน,present,
253,125,2025-12-22,ประชุมสภานักเรียน,present,
254,2,2025-12-23,กิจกรรมแถว,present,
255,3,2025-12-23,กิจกรรมแถว,present,
256,4,2025-12-23,กิจกรรมแถว,present,
257,5,2025-12-23,กิจกรรมแถว,present,
258,6,2025-12-23,กิจกรรมแถว,present,
259,8,2025-12-23,กิจกรรมแถว,present,
260,9,2025-12-23,กิจกรรมแถว,present,
261,10,2025-12-23,กิจกรรมแถว,present,
262,11,2025-12-23,กิจกรรมแถว,present,
263,12,2025-12-23,กิจกรรมแถว,present,
264,13,2025-12-23,กิจกรรมแถว,present,
265,14,2025-12-23,กิจกรรมแถว,present,
266,15,2025-12-23,กิจกรรมแถว,present,
267,16,2025-12-23,กิจกรรมแถว,present,
268,17,2025-12-23,กิจกรรมแถว,present,
269,18,2025-12-23,กิจกรรมแถว,present,
270,19,2025-12-23,กิจกรรมแถว,present,
271,21,2025-12-23,กิจกรรมแถว,present,
272,22,2025-12-23,กิจกรรมแถว,present,
273,25,2025-12-23,กิจกรรมแถว,present,
274,26,2025-12-23,กิจกรรมแถว,present,
275,27,2025-12-23,กิจกรรมแถว,present,
276,28,2025-12-23,กิจกรรมแถว,present,
277,30,2025-12-23,กิจกรรมแถว,present,
278,31,2025-12-23,กิจกรรมแถว,present,
279,33,2025-12-23,กิจกรรมแถว,present,
280,34,2025-12-23,กิจกรรมแถว,present,
281,35,2025-12-23,กิจกรรมแถว,present,
282,36,2025-12-23,กิจกรรมแถว,present,
283,37,2025-12-23,กิจกรรมแถว,present,
284,38,2025-12-23,กิจกรรมแถว,present,
285,39,2025-12-23,กิจกรรมแถว,present,
286,43,2025-12-23,กิจกรรมแถว,present,
287,44,2025-12-23,กิจกรรมแถว,present,
288,46,2025-12-23,กิจกรรมแถว,present,
289,47,2025-12-23,กิจกรรมแถว,present,
